QVD.LR04.numero-convenio;QVD.LR02.persona-numero;count(distinct[QVD.LR02.CruceLR02])
5045753;58290377;1
5045765;538334;1
5045765;58312456;1
5045797;58319542;1
5045901;628594;1
5045905;58316035;1
5082240;429609;1
5082303;58339056;1
5082307;7105006;1
5082323;454643;1
5082356;466424;1
5082359;875870;1
5082359;20227594;1
5082430;1112219;1
5082457;108880;1
5082462;502312;1
5082490;123630;1
5082563;78042;1
5082563;1182426;1
5082636;179818;1
5082638;63706;1
5082664;174116;1
5082676;110254;1
5082771;521008;1
5082771;58317804;1
5082879;137618;1
5082924;78297;1
5082924;796046;1
5082942;58337024;1
5083093;143574;1
5083093;535349;1
5083093;1090332;1
5083093;1174752;1
5083093;1202003;1
5083183;434459;1
5083183;794368;1
5083248;1150484;1
5083282;58289306;1
5083317;378028;1
5083406;5149499;1
5083416;461538;1
5083504;1253317;1
5083608;572912;1
5083645;1167587;1
5083752;58290988;1
5083774;157815;1
5083794;78531;1
5083794;378006;1
5083794;484800;1
5083794;769163;1
5083794;773568;1
5083794;848691;1
5083794;872911;1
5083794;880103;1
5083794;1036357;1
5083794;1112218;1
5083794;1112219;1
5083794;1150270;1
5083794;1273142;1
5083794;1284724;1
5083794;5470798;1
5083794;58744188;1
5083794;58752431;1
5083794;60214246;1
5083806;5210994;1
5083806;58339056;1
5083865;1146066;1
5083872;568423;1
5084057;756588;1
5084110;636919;1
5084131;26241;1
5084206;747884;1
5084234;95276;1
5084234;95277;1
5084234;719064;1
5084244;73649;1
5084244;143574;1
5084244;179818;1
5084289;670565;1
5084370;5296994;1
5084370;58743968;1
5084417;606114;1
5084457;532002;1
5084473;68668;1
5084473;730435;1
5084478;654107;1
5084534;145974;1
5084534;1163887;1
5084534;1272306;1
5084615;636358;1
5084638;5616746;1
5084733;740552;1
5084733;881324;1
5084744;58328912;1
5084974;110254;1
5084992;431622;1
5085000;143574;1
5085000;20211518;1
5085000;58301580;1
5085095;1083915;1
5085116;58321553;1
5085163;117354;1
5085273;95285;1
5085331;433043;1
5085351;1036086;1
5085400;58339056;1
5085440;521008;1
